Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Avengers: Endgame,2799439100,858373000,1941066100,2019.csv,2019,0.30662320891352846,0.6933767910864715
2,Avatar: The Way of Water,2320250281,684075767,1636174514,2022.csv,2022,0.2948284383808679,0.7051715616191321
3,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,1131561399,2015.csv,2015,0.4528824707980417,0.5471175292019583
4,Avengers: Infinity War,2048359754,678815482,1369544272,2018.csv,2018,0.3313946589091205,0.6686053410908794
5,Spider-Man: No Way Home,1912233593,804793477,1107440116,2021.csv,2021,0.4208656724503009,0.5791343275496991
6,Jurassic World,1670400637,652270625,1018130012,2015.csv,2015,0.39048753368022093,0.6095124663197791
7,The Lion King,1656943394,543638043,1113305351,2019.csv,2019,0.32809693135479556,0.6719030686452044
8,Furious 7,1515047671,353007020,1162040651,2015.csv,2015,0.23300060239490641,0.7669993976050936
9,Top Gun: Maverick,1495696292,718732821,776963471,2022.csv,2022,0.48053393248634196,0.5194660675136581
10,Frozen II,1450026933,477373578,972653355,2019.csv,2019,0.329217042205105,0.6707829577948949
11,Avengers: Age of Ultron,1402805868,459005868,943800000,2015.csv,2015,0.3272055517235689,0.6727944482764311
12,The Super Mario Bros. Movie,1352756895,574173895,778583000,2023.csv,2023,0.42444721377672223,0.5755527862232778
13,Black Panther,1346913161,700059566,646853595,2018.csv,2018,0.5197510769589992,0.4802489230410007
14,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,712358507,2017.csv,2017,0.465412995978239,0.5345870040217611
15,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018.csv,2018,0.3192434036427567,0.6807565963572433
16,Frozen,1280802282,400738009,880064273,2013.csv,2013,0.31288046143565507,0.6871195385643449
17,Beauty and the Beast,1263521126,504014165,759506961,2017.csv,2017,0.3988965080430321,0.6011034919569679
18,Incredibles 2,1242805359,608581744,634223615,2018.csv,2018,0.48968387494698595,0.510316125053014
19,The Fate of the Furious,1236005118,226008385,1009996733,2017.csv,2017,0.1828539232634472,0.8171460767365528
20,Iron Man 3,1214811252,409013994,805797258,2013.csv,2013,0.33668933616363966,0.6633106638363603
21,Minions,1159398397,336045770,823352627,2015.csv,2015,0.28984494964762314,0.7101550503523768
22,Captain America: Civil War,1153296293,408084349,745211944,2016.csv,2016,0.35384172434862754,0.6461582756513724
23,Aquaman,1148461807,335061807,813400000,2018.csv,2018,0.2917483236776023,0.7082516763223977
24,The Lord of the Rings: The Return of the King,1140682011,377027325,763654686,2003.csv,2003,0.3305279835784138,0.6694720164215863
25,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019,0.345014953583673,0.654985046416327
26,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019,0.3783030882811692,0.6216969117188308
27,Transformers: Age of Extinction,1104054072,245439076,858614996,2014.csv,2014,0.22230711540729683,0.7776928845927031
28,Joker,1074251311,335451311,738800000,2019.csv,2019,0.3122652097931673,0.6877347902068327
29,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019,0.4796399952420543,0.5203600047579457
30,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019,0.4043601587249657,0.5956398412750342
31,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016.csv,2016,0.5039284682810948,0.49607153171890517
32,Aladdin,1050693953,355559216,695134737,2019.csv,2019,0.3384041708670612,0.6615958291329388
33,Despicable Me 3,1034799409,264624300,770175109,2017.csv,2017,0.2557252136969475,0.7442747863030524
34,Barbie,1031481000,459381000,572100000,2023.csv,2023,0.4453606028613227,0.5546393971386773
35,Finding Dory,1028570889,486295561,542275328,2016.csv,2016,0.47278759898871686,0.5272124010112832
36,Zootopia,1023784195,341268248,682515947,2016.csv,2016,0.3333400238709487,0.6666599761290513
37,Jurassic World Dominion,1001978080,376851080,625127000,2022.csv,2022,0.3761071100477567,0.6238928899522432
38,Harry Potter and the Sorcerer's Stone,974755371,317575550,657179821,2001.csv,2001,0.32580025660612644,0.6741997433938736
39,Despicable Me 2,970766005,368065385,602700620,2013.csv,2013,0.3791494377679614,0.6208505622320386
40,The Jungle Book,966550600,364001123,602549477,2016.csv,2016,0.3765981036067848,0.6234018963932152
41,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017.csv,2017,0.42046036900231326,0.5795396309976868
42,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013.csv,2013,0.2695907664711547,0.7304092335288452
43,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014,0.26685617934092387,0.7331438206590761
44,Doctor Strange in the Multiverse of Madness,955775804,411331607,544444197,2022.csv,2022,0.43036411392561263,0.5696358860743874
45,Minions: The Rise of Gru,939628210,369695210,569933000,2022.csv,2022,0.3934483938067377,0.6065516061932623
46,The Lord of the Rings: The Two Towers,936689735,339789881,596899854,2002.csv,2002,0.36275606351125433,0.6372439364887457
47,Shrek 2,928760770,441226247,487534523,2004.csv,2004,0.47506985787093486,0.5249301421290652
48,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018,0.23950288546929155,0.7604971145307085
49,The Battle at Lake Changjin,902548476,342411,902206065,2021.csv,2021,0.0003793823923093079,0.9996206176076907
50,Harry Potter and the Goblet of Fire,895921036,290013036,605908000,2005.csv,2005,0.3237037912345659,0.6762962087654341
51,The Lord of the Rings: The Fellowship of the Ring,880839846,313364114,567475732,2001.csv,2001,0.35575606101724877,0.6442439389827512
52,Spectre,880674609,200074609,680600000,2015.csv,2015,0.22718335121207064,0.7728166487879293
53,Spider-Man: Homecoming,880166924,334201140,545965784,2017.csv,2017,0.37970199843592395,0.620298001564076
54,Harry Potter and the Chamber of Secrets,878979634,261988482,616991152,2002.csv,2002,0.2980597864455185,0.7019402135544816
55,The Secret Life of Pets,875457937,368384330,507073607,2016.csv,2016,0.42079043941548044,0.5792095605845196
56,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,2016.csv,2016,0.3781444477724682,0.6218555522275317
57,Finding Nemo,871014978,339714978,531300000,2003.csv,2003,0.3900219704373442,0.6099780295626558
58,Wolf Warrior 2,870325439,2721100,867604339,2017.csv,2017,0.003126531614572282,0.9968734683854277
59,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,488081953,2005.csv,2005,0.437921885250913,0.562078114749087
60,The Hunger Games: Catching Fire,865011746,424668047,440343699,2013.csv,2013,0.490939052520103,0.5090609474798969
61,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,2017.csv,2017,0.4512999944240043,0.5487000055759956
62,Black Panther: Wakanda Forever,859208836,453829060,405379776,2022.csv,2022,0.5281941257875984,0.4718058742124016
63,Inside Out,857611174,356461711,501149463,2015.csv,2015,0.4156449004009829,0.5843550995990171
64,Venom,856085151,213515506,642569645,2018.csv,2018,0.24940919224050412,0.7505908077594958
65,Thor: Ragnarok,853977126,315058289,538918837,2017.csv,2017,0.36893059475225337,0.6310694052477467
66,Guardians of the Galaxy Vol. 3,845332006,358991799,486340207,2023.csv,2023,0.42467550790925573,0.5753244920907443
67,"Hi, Mom",822009764,0,822009764,2021.csv,2021,0.0,1.0
68,Wonder Woman,821847012,412563408,409283604,2017.csv,2017,0.501995385973369,0.49800461402663104
69,Spider-Man,821708551,403706375,418002176,2002.csv,2002,0.4913011730359856,0.5086988269640144
70,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,2016.csv,2016,0.287502177034027,0.7124978229659731
71,Coco,807816196,210460015,597356181,2017.csv,2017,0.2605295809147159,0.7394704190852841
72,Jumanji: The Next Level,801693929,320314960,481378969,2019.csv,2019,0.39954769321946554,0.6004523067805344
73,Harry Potter and the Prisoner of Azkaban,795634069,249541069,546093000,2004.csv,2004,0.31363798852107727,0.6863620114789227
74,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,2017.csv,2017,0.21709293024593404,0.782907069754066
75,Mission: Impossible - Fallout,791115104,220159104,570956000,2018.csv,2018,0.27828959766643513,0.7217104023335649
76,Fast & Furious 6,788679850,238679850,550000000,2013.csv,2013,0.30263211365169274,0.6973678863483073
77,Spider-Man 2,788618317,373585825,415032492,2004.csv,2004,0.4737219729072055,0.5262780270927945
78,Deadpool,782612155,363070709,419541446,2016.csv,2016,0.463921633059737,0.536078366940263
79,No Time to Die,774153007,160891007,613262000,2021.csv,2021,0.20782843384344046,0.7921715661565596
80,Guardians of the Galaxy,772776600,333176600,439600000,2014.csv,2014,0.4311421955581988,0.5688578044418011
81,The Batman,770962583,369345583,401617000,2022.csv,2022,0.47907069829872667,0.5209293017012734
82,Thor: Love and Thunder,760928081,343256830,417671251,2022.csv,2022,0.4511028552775936,0.5488971447224065
83,Fast & Furious Presents: Hobbs & Shaw,760732926,173956935,586775991,2019.csv,2019,0.22867017984180166,0.7713298201581983
84,Maleficent,758410378,241410378,517000000,2014.csv,2014,0.31831101604466705,0.681688983955333
85,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,2014.csv,2014,0.44632672231596815,0.5536732776840319
86,Suicide Squad,746846894,325100054,421746840,2016.csv,2016,0.43529678788488074,0.5647032121151193
87,X-Men: Days of Future Past,746045700,233921534,512124166,2014.csv,2014,0.3135485319465014,0.6864514680534985
88,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957,453302158,2005.csv,2005,0.39155143866158654,0.6084485613384135
89,Monsters University,743559607,268492764,475066843,2013.csv,2013,0.3610911102114238,0.6389088897885762
90,The Matrix Reloaded,739412035,281576461,457835574,2003.csv,2003,0.3808113036731949,0.6191886963268052
91,Deadpool 2,734546611,318491426,416055185,2018.csv,2018,0.43358912998919275,0.5664108700108073
92,F9: The Fast Saga,726229501,173005945,553223556,2021.csv,2021,0.23822489276705933,0.7617751072329407
93,Ne Zha,726063471,3695533,722367938,2019.csv,2019,0.005089820859476899,0.9949101791405232
94,Gravity,723192705,274092705,449100000,2013.csv,2013,0.37900369169238235,0.6209963083076177
95,Captain America: The Winter Soldier,714421503,259766572,454654931,2014.csv,2014,0.3636040781376089,0.6363959218623911
96,Dawn of the Planet of the Apes,710644566,208545589,502098977,2014.csv,2014,0.29345976734028806,0.7065402326597119
97,The Amazing Spider-Man 2,708982323,202853933,506128390,2014.csv,2014,0.28611987410580336,0.7138801258941967
98,Fast X,704709660,145960660,558749000,2023.csv,2023,0.2071216960471352,0.7928783039528647
99,It,700381748,327481748,372900000,2017.csv,2017,0.4675760739555994,0.5324239260444006
100,The Wandering Earth,699856699,5971413,693885286,2019.csv,2019,0.008532336703402763,0.9914676632965972
101,Detective Chinatown 3,686257563,0,686257563,2021.csv,2021,0.0,1.0
102,Spider-Man: Across the Spider-Verse,683760323,380072201,303688122,2023.csv,2023,0.5558558872390144,0.4441441127609857
103,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,2015.csv,2015,0.2856866868434727,0.7143133131565274
104,Interstellar,677896797,188020017,489876780,2014.csv,2014,0.2773578778245798,0.7226421221754201
105,Doctor Strange,677718395,232641920,445076475,2016.csv,2016,0.3432722524817996,0.6567277475182004
106,Man of Steel,668045518,291045518,377000000,2013.csv,2013,0.4356671965577052,0.5643328034422948
107,Justice League,657924295,229024295,428900000,2017.csv,2017,0.3481012887660578,0.6518987112339422
108,Big Hero 6,657827828,222527828,435300000,2014.csv,2014,0.33827670178769026,0.6617232982123098
109,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018.csv,2018,0.24365039813545178,0.7563496018645482
110,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,305413918,348850097,2003.csv,2003,0.4668053125312111,0.5331946874687888
111,The Hunger Games: Mockingjay - Part 2,653428261,281723902,371704359,2015.csv,2015,0.43114740946290353,0.5688525905370965
112,Star Wars: Episode II - Attack of the Clones,645256452,302191252,343065200,2002.csv,2002,0.4683273620331037,0.5316726379668963
113,Thor: The Dark World,644783140,206362140,438421000,2013.csv,2013,0.32004890822672566,0.6799510917732744
114,Moana,643331111,248757044,394574067,2016.csv,2016,0.38667031602642327,0.6133296839735767
115,Sing,634151679,270395425,363756254,2016.csv,2016,0.42638919670825315,0.5736108032917469
116,The Incredibles,631442092,261441092,370001000,2004.csv,2004,0.4140381126192012,0.5859618873807988
117,The Martian,630161890,228433663,401728227,2015.csv,2015,0.36249996488997455,0.6375000351100255
118,Water Gate Bridge,626571697,117294,626454403,2022.csv,2022,0.00018719964620425553,0.9998128003537957
119,Ant-Man and the Wasp,622674139,216648740,406025399,2018.csv,2018,0.3479327732285988,0.6520672267714012
120,How to Train Your Dragon 2,621537519,177002924,444534595,2014.csv,2014,0.2847823640393944,0.7152176359606056
121,Logan,619021436,226277068,392744368,2017.csv,2017,0.36553995522701094,0.6344600447729891
122,The Passion of the Christ,611486736,370274604,241212132,2004.csv,2004,0.6055317019991747,0.39446829800082533
123,Transformers: The Last Knight,605425157,130168683,475256474,2017.csv,2017,0.21500375644284633,0.7849962435571537
124,War of the Worlds,603873119,234280354,369592765,2005.csv,2005,0.38796287933459084,0.6120371206654092
125,The Croods,587204668,187168425,400036243,2013.csv,2013,0.3187447838885368,0.6812552161114632
126,Ready Player One,582890172,137690172,445200000,2018.csv,2018,0.23621975221774713,0.7637802477822528
127,Operation Red Sea,579330426,1543547,577786879,2018.csv,2018,0.0026643637736368433,0.9973356362263631
128,Fifty Shades of Grey,569651467,166167230,403484237,2015.csv,2015,0.2916998193212763,0.7083001806787237
129,Kong: Skull Island,566652812,168052812,398600000,2017.csv,2017,0.29657103686975084,0.7034289631302492
130,The Little Mermaid,564330882,297102718,267228164,2023.csv,2023,0.5264690051110831,0.473530994888917
131,King Kong,556906378,218080025,338826353,2005.csv,2005,0.3915918969776999,0.6084081030223001
132,The Mermaid,553810228,3232685,550577543,2016.csv,2016,0.005837170995693492,0.9941628290043065
133,Oppenheimer,552943620,228568620,324375000,2023.csv,2023,0.4133669541209283,0.5866330458790717
134,The Day After Tomorrow,552639571,186740799,365898772,2004.csv,2004,0.3379070352528194,0.6620929647471806
135,American Sniper,547426372,350126372,197300000,2014.csv,2014,0.639586234621521,0.3604137653784791
136,Mission: Impossible II,546388108,215409889,330978219,2000.csv,2000,0.3942433699527004,0.6057566300472996
137,Detective Chinatown 2,544185156,1983984,542201172,2018.csv,2018,0.0036457885301083076,0.9963542114698917
138,X-Men: Apocalypse,543934105,155442489,388491616,2016.csv,2016,0.285774485495812,0.7142255145041879
139,Cinderella,542351353,201151353,341200000,2015.csv,2015,0.3708875286976559,0.6291124713023442
140,Madagascar,542063846,193595521,348468325,2005.csv,2005,0.35714523746341126,0.6428547625365887
141,World War Z,540007876,202359711,337648165,2013.csv,2013,0.37473473997997764,0.6252652600200224
142,The Revenant,532950503,183637894,349312609,2015.csv,2015,0.34456838480552104,0.6554316151944789
143,The Meg,530243742,145443742,384800000,2018.csv,2018,0.2742960085703378,0.7257039914296621
144,Ralph Breaks the Internet,529323962,201091711,328232251,2018.csv,2018,0.3799029052835511,0.6200970947164489
145,"Monsters, Inc.",528773250,255873250,272900000,2001.csv,2001,0.48389976232723575,0.5161002376727643
146,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018.csv,2018,0.31690343941583043,0.6830965605841696
147,The Boss Baby,527965936,175003033,352962903,2017.csv,2017,0.331466522870521,0.6685334771294791
148,Dunkirk,525245546,188045546,337200000,2017.csv,2017,0.3580145465907482,0.6419854534092517
149,Godzilla,524976069,200676069,324300000,2014.csv,2014,0.38225755582013016,0.6177424441798699
150,Meet the Fockers,522657936,279261160,243396776,2004.csv,2004,0.5343096139269183,0.46569038607308166
151,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019.csv,2019,0.3081633912243746,0.6918366087756255
152,Kung Fu Panda 3,521170825,143528619,377642206,2016.csv,2016,0.2753964959569638,0.7246035040430362
153,Ant-Man,519311965,180202163,339109802,2015.csv,2015,0.3470017545234106,0.6529982454765894
154,The Grinch,511595957,270620950,240975007,2018.csv,2018,0.5289739809261237,0.4710260190738763
155,Venom: Let There Be Carnage,506863592,213550366,293313226,2021.csv,2021,0.42131723282267236,0.5786827671773277
156,Rio 2,498781117,131538435,367242682,2014.csv,2014,0.2637197570572825,0.7362802429427175
157,Troy,497409852,133378256,364031596,2004.csv,2004,0.268145585504004,0.731854414495996
158,Mission: Impossible - Dead Reckoning Part One,493802770,151002770,342800000,2023.csv,2023,0.3057957127295985,0.6942042872704015
159,Oz the Great and Powerful,493311825,234911825,258400000,2013.csv,2013,0.47619337930932426,0.5238066206906757
160,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019.csv,2019,0.23169134358178353,0.7683086564182164
161,War for the Planet of the Apes,490719763,146880162,343839601,2017.csv,2017,0.2993157665019495,0.7006842334980505
162,Mr. & Mrs. Smith,487287646,186336279,300951367,2005.csv,2005,0.38239483502112015,0.6176051649788799
163,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014.csv,2014,0.39423274189184543,0.6057672581081546
164,Bruce Almighty,484592874,242829261,241763613,2003.csv,2003,0.5010995291688916,0.49890047083110844
165,Shrek,484409218,267665011,216744207,2001.csv,2001,0.5525596975737155,0.4474403024262845
166,Puss in Boots: The Last Wish,481048593,185535345,295513248,2022.csv,2022,0.38568940373140226,0.6143105962685977
167,Ant-Man and the Wasp: Quantumania,476071180,214504909,261566271,2023.csv,2023,0.45057318739605284,0.5494268126039472
168,Charlie and the Chocolate Factory,474968763,206459076,268509687,2005.csv,2005,0.43467927173981336,0.5653207282601866
169,Hotel Transylvania 2,474800000,169700110,305099890,2015.csv,2015,0.3574138795282224,0.6425861204717775
170,San Andreas,473990832,155190832,318800000,2015.csv,2015,0.32741315131597315,0.6725868486840269
171,It Chapter Two,473093228,211593228,261500000,2019.csv,2019,0.44725482310222375,0.5527451768977762
172,Godzilla vs. Kong,470116094,100916094,369200000,2021.csv,2021,0.21466207025875614,0.7853379297412438
173,The Lego Movie,468060692,257760692,210300000,2014.csv,2014,0.5506992926464331,0.44930070735356686
174,Bumblebee,467989645,127195589,340794056,2018.csv,2018,0.2717914602576303,0.7282085397423698
175,Star Trek Into Darkness,467365246,228778661,238586585,2013.csv,2013,0.4895072172311246,0.5104927827688753
176,The Eight Hundred,461421559,372755,461048804,2020.csv,2020,0.0008078404502985089,0.9991921595497015
177,Gladiator,460583960,187705427,272878533,2000.csv,2000,0.4075379155626696,0.5924620844373304
178,Moon Man,460237662,0,460237662,2022.csv,2022,0.0,1.0
179,Lucy,458863600,126663600,332200000,2014.csv,2014,0.27603758502526676,0.7239624149747332
180,The Last Samurai,454627263,111127263,343500000,2003.csv,2003,0.24443598535356645,0.7555640146464335
181,Demon Slayer the Movie: Mugen Train,453210959,49505008,403705951,2020.csv,2020,0.10923170990664416,0.8907682900933558
182,Dying to Survive,451176639,0,451176639,2018.csv,2018,0.0,1.0
183,Ocean's Eleven,450717150,183417150,267300000,2001.csv,2001,0.4069451317749946,0.5930548682250054
184,"My People, My Country",450064993,2356683,447708310,2019.csv,2019,0.005236317057878794,0.9947636829421213
185,Pearl Harbor,449220945,198542554,250678391,2001.csv,2001,0.44197083018914,0.55802916981086
186,La La Land,447407695,151101803,296305892,2016.csv,2016,0.3377273227274287,0.6622726772725712
187,Men in Black II,441818803,190418803,251400000,2002.csv,2002,0.43098845433248795,0.569011545667512
188,Terminator Genisys,440603537,89760956,350842581,2015.csv,2015,0.20372273134974855,0.7962772686502514
189,Warcraft,439048914,47365290,391683624,2016.csv,2016,0.10788157877097038,0.8921184212290296
190,A Star Is Born,436188866,215288866,220900000,2018.csv,2018,0.4935679995096436,0.5064320004903564
191,The Greatest Showman,434993183,174340174,260653009,2017.csv,2017,0.4007882900546513,0.5992117099453488
192,Transformers: Rise of the Beasts,433713663,157013663,276700000,2023.csv,2023,0.3620214819010671,0.6379785180989329
193,Terminator 3: Rise of the Machines,433371112,150371112,283000000,2003.csv,2003,0.34698000821060726,0.6530199917893927
194,The Mummy Returns,433013274,202019785,230993489,2001.csv,2001,0.46654409259518453,0.5334559074048155
195,Pokémon: Detective Pikachu,433005346,144105346,288900000,2019.csv,2019,0.3328026947731957,0.6671973052268043
196,Shang-Chi and the Legend of the Ten Rings,432243292,224543292,207700000,2021.csv,2021,0.5194835782437082,0.48051642175629183
197,Die Another Day,431971116,160942139,271028977,2002.csv,2002,0.37257615854111875,0.6274238414588812
198,The Secret Life of Pets 2,431058604,158874395,272184209,2019.csv,2019,0.3685679708645834,0.6314320291354166
199,Cast Away,429632142,233632142,196000000,2000.csv,2000,0.5437957712204875,0.4562042287795125
200,Rampage,428028233,101028233,327000000,2018.csv,2018,0.2360317035441912,0.7639682964558088
201,The Matrix Revolutions,427343298,139313948,288029350,2003.csv,2003,0.32600007687496246,0.6739999231250375
202,John Wick: Chapter 4,426978565,187131806,239846759,2023.csv,2023,0.4382697899600651,0.561730210039935
203,Bad Boys for Life,426505244,206305244,220200000,2020.csv,2020,0.4837109200936343,0.5162890799063657
204,Elemental,423698938,148298938,275400000,2023.csv,2023,0.35001017160916276,0.6499898283908373
205,"My People, My Homeland",422390820,0,422390820,2020.csv,2020,0.0,1.0
206,The Captain,417282021,706572,416575449,2019.csv,2019,0.0016932720904359309,0.9983067279095641
207,Jason Bourne,415484914,162434410,253050504,2016.csv,2016,0.39095140287091146,0.6090485971290885
208,The Wolverine,414828246,132556852,282271394,2013.csv,2013,0.3195463502743253,0.6804536497256747
209,Kingsman: The Secret Service,414351546,128261724,286089822,2015.csv,2015,0.3095480763573644,0.6904519236426355
210,Pacific Rim,411002906,101802906,309200000,2013.csv,2013,0.24769388370212642,0.7523061162978736
211,Kingsman: The Golden Circle,410902662,100234838,310667824,2017.csv,2017,0.24393815681826855,0.7560618431817314
212,The Mummy,409231607,80227895,329003712,2017.csv,2017,0.196045206742792,0.803954793257208
213,Ice Age: Collision Course,408579038,64063008,344516030,2016.csv,2016,0.15679465180981703,0.843205348190183
214,Sing 2,408391841,162790990,245600851,2021.csv,2021,0.39861469710409814,0.6013853028959019
215,Signs,408247917,227966634,180281283,2002.csv,2002,0.5584024425040728,0.44159755749592716
216,X2: X-Men United,407711549,214949694,192761855,2003.csv,2003,0.5272102164562427,0.4727897835437573
217,Fantastic Beasts: The Secrets of Dumbledore,407150844,95850844,311300000,2022.csv,2022,0.23541850744634585,0.7645814925536542
218,Uncharted,407141258,148648820,258492438,2022.csv,2022,0.36510379893751765,0.6348962010624823
219,Sonic the Hedgehog 2,405421518,190872904,214548614,2022.csv,2022,0.4708011181587061,0.5291988818412939
220,Alita: Battle Angel,404980543,85838210,319142333,2019.csv,2019,0.21195638033405473,0.7880436196659453
221,Eternals,402064899,164870234,237194665,2021.csv,2021,0.41005876019035425,0.5899412398096457
222,Dune,402027830,108327830,293700000,2021.csv,2021,0.26945355996872156,0.7305464400312784
223,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018.csv,2018,0.3053703369967449,0.6946296630032551
224,Black Adam,393252111,168152111,225100000,2022.csv,2022,0.42759366395365644,0.5724063360463436
225,Solo: A Star Wars Story,392924807,213767512,179157295,2018.csv,2018,0.5440417815106289,0.4559582184893712
226,The Wolf of Wall Street,392000694,116900694,275100000,2013.csv,2013,0.2982155281592435,0.7017844718407565
227,Independence Day: Resurgence,389681935,103144286,286537649,2016.csv,2016,0.26468839516514925,0.7353116048348508
228,Monster Hunt,387053506,32766,387020740,2015.csv,2015,8.465496240718718e-05,0.9999153450375928
229,Godzilla: King of the Monsters,386600138,110500138,276100000,2019.csv,2019,0.2858253971963145,0.7141746028036855
230,Home,386041607,177397510,208644097,2015.csv,2015,0.45952950869360565,0.5404704913063944
231,1917,384579437,159227644,225351793,2019.csv,2019,0.41403057127050713,0.5859694287294929
232,Cars 3,383930656,152901115,231029541,2017.csv,2017,0.3982519046356121,0.6017480953643879
233,Ice Age,383257136,176387405,206869731,2002.csv,2002,0.4602325395449388,0.5397674604550612
234,Fifty Shades Darker,381545846,114581250,266964596,2017.csv,2017,0.3003079477898444,0.6996920522101556
235,Black Widow,379751655,183651655,196100000,2021.csv,2021,0.4836098870984512,0.5163901129015488
236,Once Upon a Time in Hollywood,377426903,142502728,234924175,2019.csv,2019,0.3775637795485925,0.6224362204514076
237,G.I. Joe: Retaliation,375740705,122523060,253217645,2013.csv,2013,0.3260840743884802,0.6739159256115198
238,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018.csv,2018,0.5065795628491859,0.49342043715081413
239,Mad Max: Fury Road,374736354,153636354,221100000,2015.csv,2015,0.4099851865453118,0.5900148134546882
240,Shark Tale,374583879,160861908,213721971,2004.csv,2004,0.42944162047080514,0.5705583795291949
241,What Women Want,374111707,182811707,191300000,2000.csv,2000,0.4886554031307018,0.5113445968692982
242,Penguins of Madagascar,373515621,83850911,289664710,2014.csv,2014,0.22449104210289508,0.775508957897105
243,Fifty Shades Freed,371985018,100407760,271577258,2018.csv,2018,0.26992420431298125,0.7300757956870187
244,Batman Begins,371853783,205343774,166510009,2005.csv,2005,0.552216444709398,0.44778355529060193
245,Hitch,371594210,179495555,192098655,2005.csv,2005,0.48304185094810814,0.5169581490518919
246,Edge of Tomorrow,370541256,100206256,270335000,2014.csv,2014,0.2704321162013873,0.7295678837986127
247,Gone Girl,369330363,167767189,201563174,2014.csv,2014,0.4542469447604014,0.5457530552395986
248,Jurassic Park III,368780809,181171875,187608934,2001.csv,2001,0.49127251358679025,0.5087274864132098
249,My Big Fat Greek Wedding,368744044,241438208,127305836,2002.csv,2002,0.6547582582784713,0.34524174172152866
250,Indiana Jones and the Dial of Destiny,368440059,170640059,197800000,2023.csv,2023,0.4631419815292126,0.5368580184707874
251,Hello Mr. Billionaire,366961907,0,366961907,2018.csv,2018,0.0,1.0
252,Shazam!,365971656,140371656,225600000,2019.csv,2019,0.3835588185550632,0.6164411814449369
253,The Nun,365550119,117450119,248100000,2018.csv,2018,0.32129689718415877,0.6787031028158412
254,Tenet,365304105,58504105,306800000,2020.csv,2020,0.16015178641367855,0.8398482135863214
255,Night at the Museum: Secret of the Tomb,363204635,113746621,249458014,2014.csv,2014,0.313175025973994,0.6868249740260061
256,Ocean's Twelve,362744280,125544280,237200000,2004.csv,2004,0.34609582265501193,0.6539041773449881
257,Planet of the Apes,362211740,180011740,182200000,2001.csv,2001,0.4969793082907804,0.5030206917092196
258,The Hangover Part III,362000072,112200072,249800000,2013.csv,2013,0.3099448886297459,0.6900551113702541
259,Monster Hunt 2,361682618,706153,360976465,2018.csv,2018,0.0019524106629862981,0.9980475893370137
260,Noah,359200044,101200044,258000000,2014.csv,2014,0.28173728174710355,0.7182627182528964
261,Minority Report,358372926,132072926,226300000,2002.csv,2002,0.3685348875936013,0.6314651124063987
262,Your Name.,357986087,5017246,352968841,2016.csv,2016,0.014015198305737508,0.9859848016942625
263,The Legend of Tarzan,356700357,126643061,230057296,2016.csv,2016,0.3550404660794887,0.6449595339205113
264,The Great Gatsby,353641895,144840419,208801476,2013.csv,2013,0.40956804340164504,0.5904319565983549
265,Dumbo,353284621,114766307,238518314,2019.csv,2019,0.32485508900768145,0.6751449109923185
266,"I, Robot",353133898,144801023,208332875,2004.csv,2004,0.4100456620564928,0.5899543379435072
267,Murder on the Orient Express,352789811,102826543,249963268,2017.csv,2017,0.29146687289106543,0.7085331271089346
268,The Angry Birds Movie,352333929,107509366,244824563,2016.csv,2016,0.3051348653964007,0.6948651346035993
269,Catch Me If You Can,352114312,164615351,187498961,2002.csv,2002,0.4675054247723961,0.5324945752276039
270,Now You See Me,351723989,117723989,234000000,2013.csv,2013,0.3347056006464205,0.6652943993535795
271,Hannibal,351692268,165092268,186600000,2001.csv,2001,0.46942251229702897,0.5305774877029711
272,Peter Rabbit,351266433,115253424,236013009,2018.csv,2018,0.3281082767165515,0.6718917232834485
